Person,Skill,Rating
Person 1,C,4
Person 1,Kotlin,5
Person 1,Ruby,4
Person 1,R,1
Person 1,Python,4
Person 1,C++,3
Person 1,Java,4
Person 2,C++,3
Person 2,JavaScript,5
Person 2,Python,2
Person 2,R,1
Person 3,Ruby,4
Person 3,JavaScript,3
Person 3,Go,2
Person 3,C++,3
Person 3,Kotlin,3
Person 3,R,5
Person 4,PHP,2
Person 4,Python,3
Person 4,C,1
Person 4,R,4
Person 4,Ruby,1
Person 4,C++,2
Person 4,Java,4
Person 4,JavaScript,1
Person 4,Swift,2
Person 5,C,4
Person 5,Kotlin,1
Person 5,C++,3
Person 5,Python,1
Person 5,JavaScript,5
Person 5,R,5
Person 5,Swift,2
Person 5,Ruby,2
Person 5,Go,1
Person 6,Python,3
Person 6,Kotlin,1
Person 7,C,3
Person 7,Python,3
Person 7,Kotlin,2
Person 7,C++,1
Person 7,PHP,4
Person 7,JavaScript,2
Person 7,Swift,4
Person 7,R,1
Person 8,Swift,1
Person 8,Kotlin,3
Person 8,R,2
Person 8,Python,1
Person 8,Java,1
Person 8,C++,1
Person 8,C,2
Person 9,JavaScript,2
Person 9,Python,2
Person 9,Swift,4
Person 9,Java,3
Person 9,R,2
Person 9,Ruby,1
Person 9,Go,5
Person 9,C,2
Person 9,PHP,4
Person 10,Go,4
Person 10,R,5
Person 11,Kotlin,5
Person 11,Python,4
Person 11,Go,4
Person 11,Swift,4
Person 11,Ruby,2
Person 11,C,4
Person 11,JavaScript,4
Person 11,PHP,4
Person 12,Go,5
Person 13,PHP,2
Person 13,C,1
Person 13,Python,3
Person 13,C++,4
Person 13,JavaScript,5
Person 13,Go,1
Person 13,R,4
Person 14,Python,2
Person 15,Ruby,4
Person 15,R,3
Person 15,Go,4
Person 15,JavaScript,1
Person 16,Kotlin,1
Person 16,Python,4
Person 16,Ruby,1
Person 16,Go,2
Person 16,R,2
Person 17,PHP,4
Person 17,Java,3
Person 17,C,3
Person 17,JavaScript,5
Person 17,Kotlin,3
Person 17,Ruby,2
Person 17,Python,3
Person 17,C++,1
Person 18,PHP,2
Person 18,C++,3
Person 18,C,4
Person 19,JavaScript,1
Person 19,PHP,3
Person 19,C,5
Person 19,Python,4
Person 19,Ruby,2
Person 19,Swift,1
Person 19,Go,2
Person 19,Java,2
Person 19,C++,4
Person 20,C,3
Person 20,Python,5
Person 20,C++,2
Person 20,R,4
Person 20,PHP,5
Person 20,Java,4
Person 20,Kotlin,2
Person 20,JavaScript,3
Person 20,Go,2
Person 20,Swift,3
Person 21,Python,2
Person 21,C,3
Person 21,PHP,4
Person 21,Kotlin,2
Person 21,R,5
Person 21,C++,5
Person 21,Java,2
Person 22,Java,1
Person 22,Ruby,5
Person 22,C++,2
Person 22,JavaScript,5
Person 22,PHP,1
Person 22,Swift,2
Person 23,Kotlin,4
Person 24,R,3
Person 24,C,2
Person 25,Swift,3
Person 25,R,1
Person 25,Java,5
Person 25,Ruby,3
Person 25,PHP,5
Person 25,Go,5
Person 25,C,1
Person 25,Python,3
Person 26,Ruby,5
Person 26,PHP,3
Person 26,C,2
Person 26,JavaScript,3
Person 26,Python,3
Person 26,Swift,3
Person 26,Go,4
Person 26,Java,5
Person 27,Python,5
Person 27,Java,1
Person 27,Swift,5
Person 27,C++,4
Person 27,R,3
Person 28,PHP,2
